,loss,acc,val_loss,val_acc
0,1.125187755,0.384831458,0.989509106,0.678832114
1,1.060460091,0.401685387,0.87287122,0.693430662
2,0.91205287,0.553370774,0.735277891,0.62043798
3,0.806948006,0.623595476,0.624402344,0.722627759
4,0.714930773,0.662921369,0.571648479,0.802919686
5,0.70309633,0.646067441,0.517285287,0.846715331
6,0.542016327,0.775280893,0.448187917,0.905109465
7,0.559774101,0.775280893,0.468010128,0.883211672
8,0.455170959,0.831460655,0.454117566,0.773722649
9,0.434404194,0.848314583,0.303201258,0.927007318
10,0.380574316,0.862359524,0.257896781,0.94890511
11,0.343121499,0.904494405,0.300082624,0.934306562
12,0.32268253,0.890449464,0.275717974,0.963503659
13,0.31069234,0.915730357,0.244954988,0.94890511
14,0.292967588,0.912921369,0.206113189,0.956204355
15,0.272196591,0.929775298,0.21637626,0.970802903
16,0.257844627,0.918539345,0.179879338,0.992700756
17,0.252723366,0.918539345,0.17802453,0.978102207
18,0.23391515,0.932584286,0.18665418,0.956204355
19,0.224862501,0.95505619,0.182670802,0.956204355
